"State","X30.01.20","X31.01.20","X01.02.20","X02.02.20","X03.02.20","X04.02.20","X05.02.20","X06.02.20","X07.02.20","X08.02.20","X09.02.20","X10.02.20","X11.02.20","X12.02.20","X13.02.20","X14.02.20","X15.02.20","X16.02.20","X17.02.20","X18.02.20","X19.02.20","X20.02.20","X21.02.20","X22.02.20","X23.02.20","X24.02.20","X25.02.20","X26.02.20","X27.02.20","X28.02.20","X29.02.20","X01.03.20","X02.03.20","X03.03.20","X04.03.20","X05.03.20","X06.03.20","X07.03.20","X08.03.20","X09.03.20","X10.03.20","X11.03.20","X12.03.20","X13.03.20","X14.03.20","X15.03.20","X16.03.20","X17.03.20","X18.03.20","X19.03.20","X20.03.20","X21.03.20","X22.03.20","X23.03.20","X24.03.20","X25.03.20","X26.03.20","X27.03.20","X28.03.20","X29.03.20","X30.03.20","X31.03.20","X01.04.20","X02.04.20","X03.04.20","X04.04.20","X05.04.20","X06.04.20","X07.04.20","X08.04.20","X09.04.20","X10.04.20","X11.04.20","X12.04.20","X13.04.20","X14.04.20","X15.04.20","X16.04.20","X17.04.20","X18.04.20","X19.04.20","X20.04.20","X21.04.20","X22.04.20","X23.04.20","X24.04.20","X25.04.20","X26.04.20","X27.04.20","X28.04.20","X29.04.20","X30.04.20","X01.05.20","X02.05.20","X03.05.20","X04.05.20","X05.05.20","X06.05.20","X07.05.20","X08.05.20","X09.05.20","X10.05.20","X11.05.20","X12.05.20","X13.05.20","X14.05.20","X15.05.20","X16.05.20","X17.05.20","X18.05.20","X19.05.20","X20.05.20","X21.05.20","X22.05.20","X23.05.20","X24.05.20","X25.05.20","X26.05.20","X27.05.20","X28.05.20","X29.05.20","X30.05.20","X31.05.20","X01.06.20","X02.06.20","X03.06.20","X04.06.20","X05.06.20","X06.06.20","X07.06.20","X08.06.20","X09.06.20","X10.06.20","X11.06.20","X12.06.20","X13.06.20","X14.06.20"
"Andaman and Nicobar Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,15,15,16,16,16,17,32,32,32,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
"Andhra Pradesh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,7,11,11,11,14,16,20,36,42,42,92,96,120,141,145,171,231,235,258,287,287,321,403,441,488,524,589,589,729,780,842,887,975,1056,1142,1192,1252,1353,1353,1552,1552,1640,1709,1709,1809,1856,1896,2009,2057,2057,2226,2289,2349,2378,2421,2466,2539,2576,2620,2682,2745,2802,2899,3048,3105,3195
"Arunachal Pradesh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4
"Assam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,12,12,19,19,19,19,19,19,27,27,27,27,29,29,29,32,32,32,32,32,32,34,34,34,34,39,39,39,41,41,41,41,41,48,54,54,55,55,62,62,87,87,125,163,185,277,324,413,442,498,547,615,665,1085,1249,1432,1537,1584
"Bihar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,26,26,29,29,37,37,37,42,42,46,46,46,46,56,56,57,64,65,82,82,98,117,125,130,142,188,246,297,322,377,383,388,411,438,453,453,494,494,571,593,593,653,702,749,900,1083,1083,1211,1618,1710,1900,1946,2077,2210,2225,2425,2480,2499,2864,3071,3266,3587,3956
"Chandigarh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,9,10,10,13,13,14,14,14,15,17,17,17,17,17,17,17,17,19,19,21,21,21,21,21,24,24,28,28,37,37,51,51,54,54,57,139,139,179,186,186,187,187,187,189,189,199,199,214,214,214,222,273,273,273,286,286,286,286,286
"Chhattisgarh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,8,9,9,9,9,9,10,10,10,13,17,24,24,24,25,25,26,28,30,30,32,32,32,34,34,36,36,36,36,36,36,36,36,38,38,43,53,54,55,56,56,56,56,59,59,59,59,59,64,67,72,79,83,83,100,102,115,122,130,188,213,244,266,283,308,386,402,447,550,631
"Dadra and Nagar Haveli and Daman and Diu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2
"Delhi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,5,5,5,5,6,6,6,6,6,6,6,6,6,8,8,15,18,19,21,21,21,25,25,25,27,30,30,42,72,72,72,431,431,611,808,857,857,877,877,877,1078,1092,1094,1094,1167,1256,1362,1431,1468,1542,1931,2020,2020,2129,2512,2858,3045,3518,3926,3926,4485,4485,5192,5567,5567,6267,6540,6771,7223,7264,7264,7846,8075,8478,8746,9243,9542,9898,10315,10664,10999,11357,11861,12245,12731,13398,14945
"Goa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,16,19,19,28,37,37,41,41,42,42,57,57,57,65,65,65,67,67,67,67,69,70
