"State.UnionTerritory","Date","Day","Confirmed","Cured","Deaths"
"Kerala","30/01/20",1,1,0,0
"Kerala","31/01/20",2,1,0,0
"Kerala","01/02/20",3,2,0,0
"Kerala","02/02/20",4,3,0,0
"Kerala","03/02/20",5,3,0,0
"Kerala","04/02/20",6,3,0,0
"Kerala","05/02/20",7,3,0,0
"Kerala","06/02/20",8,3,0,0
"Kerala","07/02/20",9,3,0,0
"Kerala","08/02/20",10,3,0,0
"Kerala","09/02/20",11,3,0,0
"Kerala","10/02/20",12,3,0,0
"Kerala","11/02/20",13,3,0,0
"Kerala","12/02/20",14,3,0,0
"Kerala","13/02/20",15,3,0,0
"Kerala","14/02/20",16,3,0,0
"Kerala","15/02/20",17,3,0,0
"Kerala","16/02/20",18,3,0,0
"Kerala","17/02/20",19,3,0,0
"Kerala","18/02/20",20,3,0,0
"Kerala","19/02/20",21,3,0,0
"Kerala","20/02/20",22,3,0,0
"Kerala","21/02/20",23,3,0,0
"Kerala","22/02/20",24,3,0,0
"Kerala","23/02/20",25,3,0,0
"Kerala","24/02/20",26,3,0,0
"Kerala","25/02/20",27,3,0,0
"Kerala","26/02/20",28,3,0,0
"Kerala","27/02/20",29,3,0,0
"Kerala","28/02/20",30,3,0,0
"Kerala","29/02/20",31,3,0,0
"Kerala","01/03/20",32,3,0,0
"Telengana","02/03/20",33,1,0,0
"Kerala","02/03/20",33,3,0,0
"Delhi","02/03/20",33,1,0,0
"Telengana","03/03/20",34,1,0,0
"Rajasthan","03/03/20",34,1,0,0
"Kerala","03/03/20",34,3,3,0
"Delhi","03/03/20",34,1,0,0
"Uttar Pradesh","04/03/20",35,6,0,0
"Kerala","04/03/20",35,3,3,0
"Haryana","04/03/20",35,2,0,0
"Delhi","04/03/20",35,1,0,0
"Telengana","04/03/20",35,1,0,0
"Rajasthan","04/03/20",35,15,0,0
"Delhi","05/03/20",36,2,0,0
"Haryana","05/03/20",36,2,0,0
"Kerala","05/03/20",36,3,3,0
"Rajasthan","05/03/20",36,15,0,0
"Telengana","05/03/20",36,1,0,0
"Uttar Pradesh","05/03/20",36,7,0,0
"Delhi","06/03/20",37,3,0,0
"Haryana","06/03/20",37,2,0,0
"Kerala","06/03/20",37,3,3,0
"Rajasthan","06/03/20",37,15,0,0
"Uttar Pradesh","06/03/20",37,7,0,0
"Telengana","06/03/20",37,1,0,0
"Kerala","07/03/20",38,3,3,0
"Uttar Pradesh","07/03/20",38,7,0,0
"Ladakh","07/03/20",38,2,0,0
"Telengana","07/03/20",38,1,0,0
"Tamil Nadu","07/03/20",38,1,0,0
"Delhi","07/03/20",38,3,0,0
"Haryana","07/03/20",38,2,0,0
"Rajasthan","07/03/20",38,15,0,0
"Ladakh","08/03/20",39,2,0,0
"Telengana","08/03/20",39,1,0,0
"Tamil Nadu","08/03/20",39,1,0,0
"Rajasthan","08/03/20",39,15,0,0
"Kerala","08/03/20",39,8,3,0
"Haryana","08/03/20",39,2,0,0
"Delhi","08/03/20",39,3,0,0
"Uttar Pradesh","08/03/20",39,7,0,0
"Ladakh","09/03/20",40,2,0,0
"Karnataka","09/03/20",40,1,0,0
"Kerala","09/03/20",40,9,3,0
"Maharashtra","09/03/20",40,2,0,0
"Punjab","09/03/20",40,1,0,0
"Rajasthan","09/03/20",40,15,0,0
"Tamil Nadu","09/03/20",40,1,0,0
"Telengana","09/03/20",40,1,0,0
"Jammu and Kashmir","09/03/20",40,1,0,0
"Uttar Pradesh","09/03/20",40,7,0,0
"Haryana","09/03/20",40,2,0,0
"Delhi","09/03/20",40,4,0,0
"Uttar Pradesh","10/03/20",41,7,0,0
"Ladakh","10/03/20",41,2,0,0
"Delhi","10/03/20",41,4,0,0
"Haryana","10/03/20",41,2,0,0
"Karnataka","10/03/20",41,4,0,0
"Kerala","10/03/20",41,15,3,0
"Maharashtra","10/03/20",41,5,0,0
"Punjab","10/03/20",41,1,0,0
"Rajasthan","10/03/20",41,15,0,0
"Tamil Nadu","10/03/20",41,1,0,0
"Telengana","10/03/20",41,1,0,0
"Jammu and Kashmir","10/03/20",41,1,0,0
"Maharashtra","11/03/20",42,2,0,0
"Delhi","11/03/20",42,5,0,0
"Haryana","11/03/20",42,14,0,0
"Kerala","11/03/20",42,17,3,0
"Rajasthan","11/03/20",42,3,0,0
"Telengana","11/03/20",42,1,0,0
"Uttar Pradesh","11/03/20",42,9,0,0
"Ladakh","11/03/20",42,2,0,0
"Tamil Nadu","11/03/20",42,1,0,0
"Jammu and Kashmir","11/03/20",42,1,0,0
"Punjab","11/03/20",42,1,0,0
"Karnataka","11/03/20",42,4,0,0
"Delhi","12/03/20",43,6,0,0
"Haryana","12/03/20",43,14,0,0
"Kerala","12/03/20",43,17,3,0
"Rajasthan","12/03/20",43,3,0,0
"Telengana","12/03/20",43,1,0,0
"Uttar Pradesh","12/03/20",43,11,0,0
"Ladakh","12/03/20",43,3,0,0
"Tamil Nadu","12/03/20",43,1,0,0
"Jammu and Kashmir","12/03/20",43,1,0,0
"Punjab","12/03/20",43,1,0,0
"Karnataka","12/03/20",43,4,0,0
"Maharashtra","12/03/20",43,11,0,0
"Andhra Pradesh","12/03/20",43,1,0,0
"Delhi","13/03/20",44,6,0,0
"Haryana","13/03/20",44,14,0,0
"Kerala","13/03/20",44,19,3,0
"Rajasthan","13/03/20",44,3,0,0
"Telengana","13/03/20",44,1,0,0
"Uttar Pradesh","13/03/20",44,11,0,0
"Ladakh","13/03/20",44,3,0,0
"Tamil Nadu","13/03/20",44,1,0,0
"Jammu and Kashmir","13/03/20",44,1,0,0
"Punjab","13/03/20",44,1,0,0
"Karnataka","13/03/20",44,6,0,1
"Maharashtra","13/03/20",44,14,0,0
"Andhra Pradesh","13/03/20",44,1,0,0
"Delhi","14/03/20",45,7,1,1
"Haryana","14/03/20",45,14,0,0
"Kerala","14/03/20",45,19,3,0
"Rajasthan","14/03/20",45,3,1,0
"Telengana","14/03/20",45,1,0,0
"Uttar Pradesh","14/03/20",45,12,5,0
"Ladakh","14/03/20",45,3,0,0
"Tamil Nadu","14/03/20",45,1,0,0
"Jammu and Kashmir","14/03/20",45,2,0,0
"Punjab","14/03/20",45,1,0,0
"Karnataka","14/03/20",45,6,0,1
"Maharashtra","14/03/20",45,14,0,0
"Andhra Pradesh","14/03/20",45,1,0,0
"Andhra Pradesh","15/03/20",46,1,0,0
"Delhi","15/03/20",46,7,2,1
"Haryana","15/03/20",46,14,0,0
"Karnataka","15/03/20",46,6,0,1
"Kerala","15/03/20",46,22,3,0
"Maharashtra","15/03/20",46,32,0,0
"Punjab","15/03/20",46,1,0,0
"Rajasthan","15/03/20",46,4,3,0
"Tamil Nadu","15/03/20",46,1,0,0
"Telengana","15/03/20",46,3,1,0
"Jammu and Kashmir","15/03/20",46,2,0,0
"Ladakh","15/03/20",46,3,0,0
"Uttar Pradesh","15/03/20",46,13,4,0
"Uttarakhand","15/03/20",46,1,0,0
"Andhra Pradesh","16/03/20",47,1,0,0
"Delhi","16/03/20",47,7,2,1
"Haryana","16/03/20",47,14,0,0
"Karnataka","16/03/20",47,6,0,1
"Kerala","16/03/20",47,23,3,0
"Maharashtra","16/03/20",47,32,0,0
"Odisha","16/03/20",47,1,0,0
"Punjab","16/03/20",47,1,0,0
"Rajasthan","16/03/20",47,4,3,0
"Tamil Nadu","16/03/20",47,1,0,0
"Telengana","16/03/20",47,3,1,0
"Jammu and Kashmir","16/03/20",47,3,0,0
"Ladakh","16/03/20",47,4,0,0
"Uttar Pradesh","16/03/20",47,13,4,0
"Uttarakhand","16/03/20",47,1,0,0
"Andhra Pradesh","17/03/20",48,1,0,0
"Delhi","17/03/20",48,8,2,1
"Haryana","17/03/20",48,15,0,0
"Karnataka","17/03/20",48,11,0,1
"Kerala","17/03/20",48,26,3,0
"Maharashtra","17/03/20",48,39,0,1
"Odisha","17/03/20",48,1,0,0
"Punjab","17/03/20",48,1,0,0
"Rajasthan","17/03/20",48,4,3,0
"Tamil Nadu","17/03/20",48,1,0,0
"Telengana","17/03/20",48,5,1,0
"Jammu and Kashmir","17/03/20",48,3,0,0
"Ladakh","17/03/20",48,6,0,0
"Uttar Pradesh","17/03/20",48,15,5,0
"Uttarakhand","17/03/20",48,1,0,0
"Andhra Pradesh","18/03/20",49,1,0,0
"Delhi","18/03/20",49,10,2,1
"Haryana","18/03/20",49,17,0,0
"Karnataka","18/03/20",49,11,0,1
"Kerala","18/03/20",49,27,3,0
"Maharashtra","18/03/20",49,42,0,1
"Odisha","18/03/20",49,1,0,0
"Puducherry","18/03/20",49,1,0,0
"Punjab","18/03/20",49,1,0,0
"Rajasthan","18/03/20",49,4,3,0
"Tamil Nadu","18/03/20",49,1,0,0
"Telengana","18/03/20",49,6,1,0
"Jammu and Kashmir","18/03/20",49,3,0,0
"Ladakh","18/03/20",49,8,0,0
"Uttar Pradesh","18/03/20",49,16,5,0
"Uttarakhand","18/03/20",49,1,0,0
"West Bengal","18/03/20",49,1,0,0
"Andhra Pradesh","19/03/20",50,2,0,0
"Chhattisgarh","19/03/20",50,1,0,0
"Delhi","19/03/20",50,12,3,1
"Haryana","19/03/20",50,17,0,0
"Karnataka","19/03/20",50,14,0,1
"Kerala","19/03/20",50,27,3,0
"Maharashtra","19/03/20",50,47,0,1
"Odisha","19/03/20",50,1,0,0
"Puducherry","19/03/20",50,1,0,0
"Punjab","19/03/20",50,2,0,1
"Rajasthan","19/03/20",50,7,3,0
"Tamil Nadu","19/03/20",50,2,1,0
"Telengana","19/03/20",50,6,1,0
"Chandigarh","19/03/20",50,1,0,0
"Jammu and Kashmir","19/03/20",50,4,0,0
"Ladakh","19/03/20",50,8,0,0
"Uttar Pradesh","19/03/20",50,19,9,0
"Uttarakhand","19/03/20",50,1,0,0
"West Bengal","19/03/20",50,1,0,0
"Andhra Pradesh","20/03/20",51,3,0,0
"Chhattisgarh","20/03/20",51,1,0,0
"Delhi","20/03/20",51,17,5,1
"Gujarat","20/03/20",51,5,0,0
"Haryana","20/03/20",51,17,0,0
"Karnataka","20/03/20",51,15,1,1
"Kerala","20/03/20",51,28,3,0
"Maharashtra","20/03/20",51,52,0,1
"Odisha","20/03/20",51,2,0,0
"Puducherry","20/03/20",51,1,0,0
"Punjab","20/03/20",51,2,0,1
"Rajasthan","20/03/20",51,17,3,0
"Tamil Nadu","20/03/20",51,3,1,0
"Telengana","20/03/20",51,17,1,0
"Chandigarh","20/03/20",51,1,0,0
"Jammu and Kashmir","20/03/20",51,4,0,0
"Ladakh","20/03/20",51,10,0,0
"Uttar Pradesh","20/03/20",51,23,9,0
"Uttarakhand","20/03/20",51,3,0,0
"West Bengal","20/03/20",51,2,0,0
"Andhra Pradesh","21/03/20",52,3,0,0
"Chhattisgarh","21/03/20",52,1,0,0
"Delhi","21/03/20",52,26,5,1
"Gujarat","21/03/20",52,7,0,0
"Haryana","21/03/20",52,17,0,0
"Himachal Pradesh","21/03/20",52,2,0,0
"Karnataka","21/03/20",52,15,1,1
"Kerala","21/03/20",52,40,3,0
"Madhya Pradesh","21/03/20",52,4,0,0
"Maharashtra","21/03/20",52,63,0,1
"Odisha","21/03/20",52,2,0,0
"Puducherry","21/03/20",52,1,0,0
"Punjab","21/03/20",52,13,0,1
"Rajasthan","21/03/20",52,17,3,0
"Tamil Nadu","21/03/20",52,3,1,0
"Telengana","21/03/20",52,21,1,0
"Chandigarh","21/03/20",52,1,0,0
"Jammu and Kashmir","21/03/20",52,4,0,0
"Ladakh","21/03/20",52,13,0,0
"Uttar Pradesh","21/03/20",52,24,9,0
"Uttarakhand","21/03/20",52,3,0,0
"West Bengal","21/03/20",52,3,0,0
"Andhra Pradesh","22/03/20",53,5,0,0
"Bihar","22/03/20",53,2,0,1
"Chhattisgarh","22/03/20",53,1,0,0
"Delhi","22/03/20",53,29,5,1
"Gujarat","22/03/20",53,18,0,1
"Haryana","22/03/20",53,21,0,0
"Himachal Pradesh","22/03/20",53,2,0,0
"Karnataka","22/03/20",53,26,2,1
"Kerala","22/03/20",53,52,3,0
"Madhya Pradesh","22/03/20",53,4,0,0
"Maharashtra","22/03/20",53,67,0,2
"Odisha","22/03/20",53,2,0,0
"Puducherry","22/03/20",53,1,0,0
"Punjab","22/03/20",53,21,0,1
"Rajasthan","22/03/20",53,24,3,0
"Tamil Nadu","22/03/20",53,7,1,0
"Telengana","22/03/20",53,22,1,0
"Chandigarh","22/03/20",53,5,0,0
"Jammu and Kashmir","22/03/20",53,4,0,0
"Ladakh","22/03/20",53,13,0,0
"Uttar Pradesh","22/03/20",53,27,9,0
"Uttarakhand","22/03/20",53,3,0,0
"West Bengal","22/03/20",53,4,0,0
"Andhra Pradesh","23/03/20",54,7,0,0
"Bihar","23/03/20",54,2,0,1
"Chhattisgarh","23/03/20",54,1,0,0
"Delhi","23/03/20",54,29,5,1
"Gujarat","23/03/20",54,29,0,1
"Haryana","23/03/20",54,26,0,0
"Himachal Pradesh","23/03/20",54,2,0,0
"Karnataka","23/03/20",54,33,2,1
"Kerala","23/03/20",54,67,3,0
"Madhya Pradesh","23/03/20",54,6,0,0
"Maharashtra","23/03/20",54,74,0,2
"Odisha","23/03/20",54,2,0,0
"Puducherry","23/03/20",54,1,0,0
"Punjab","23/03/20",54,21,0,1
"Rajasthan","23/03/20",54,28,3,0
"Tamil Nadu","23/03/20",54,9,1,0
"Telengana","23/03/20",54,32,1,0
"Chandigarh","23/03/20",54,6,0,0
"Jammu and Kashmir","23/03/20",54,4,0,0
"Ladakh","23/03/20",54,13,0,0
"Uttar Pradesh","23/03/20",54,31,9,0
"Uttarakhand","23/03/20",54,3,0,0
"West Bengal","23/03/20",54,7,0,0
"Andhra Pradesh","24/03/20",55,8,0,0
"Bihar","24/03/20",55,3,0,1
"Chhattisgarh","24/03/20",55,1,0,0
"Delhi","24/03/20",55,30,6,1
"Gujarat","24/03/20",55,33,0,1
"Haryana","24/03/20",55,28,11,0
"Himachal Pradesh","24/03/20",55,3,0,1
"Karnataka","24/03/20",55,37,3,1
"Kerala","24/03/20",55,95,4,0
"Madhya Pradesh","24/03/20",55,7,0,0
"Maharashtra","24/03/20",55,89,0,2
"Manipur","24/03/20",55,1,0,0
"Odisha","24/03/20",55,2,0,0
"Puducherry","24/03/20",55,1,0,0
"Punjab","24/03/20",55,29,0,1
"Rajasthan","24/03/20",55,32,3,0
"Tamil Nadu","24/03/20",55,15,1,0
"Telengana","24/03/20",55,35,1,0
"Chandigarh","24/03/20",55,7,0,0
