"State","Date","Day","Confirmed.Indians","Confirmed.Foreigners","Total.Confirmed","Deaths","Recovered","Active.Cases","Closed.Cases","Death.Rate"
"Andhra Pradesh","03/02/2020",4,0,0,0,0,0,0,0,0
"Bihar","03/02/2020",4,0,0,0,0,0,0,0,0
"Chandigarh","03/02/2020",4,0,0,0,0,0,0,0,0
"Chhattisgarh","03/02/2020",4,0,0,0,0,0,0,0,0
"Delhi","03/02/2020",4,0,0,0,0,0,0,0,0
"Goa","03/02/2020",4,0,0,0,0,0,0,0,0
"Gujarat","03/02/2020",4,0,0,0,0,0,0,0,0
"Haryana","03/02/2020",4,0,0,0,0,0,0,0,0
"Himachal Pradesh","03/02/2020",4,0,0,0,0,0,0,0,0
"Jammu and Kashmir","03/02/2020",4,0,0,0,0,0,0,0,0
"Karnataka","03/02/2020",4,0,0,0,0,0,0,0,0
"Kerala","03/02/2020",4,3,0,3,0,0,3,0,0
"Ladakh","03/02/2020",4,0,0,0,0,0,0,0,0
"Madhya Pradesh","03/02/2020",4,0,0,0,0,0,0,0,0
"Maharashtra","03/02/2020",4,0,0,0,0,0,0,0,0
"Manipur","03/02/2020",4,0,0,0,0,0,0,0,0
"Mizoram","03/02/2020",4,0,0,0,0,0,0,0,0
"Odisha","03/02/2020",4,0,0,0,0,0,0,0,0
"Puducherry","03/02/2020",4,0,0,0,0,0,0,0,0
"Punjab","03/02/2020",4,0,0,0,0,0,0,0,0
"Rajasthan","03/02/2020",4,0,0,0,0,0,0,0,0
"Tamil Nadu","03/02/2020",4,0,0,0,0,0,0,0,0
"Telengana","03/02/2020",4,0,0,0,0,0,0,0,0
"Uttar Pradesh","03/02/2020",4,0,0,0,0,0,0,0,0
"Uttarakhand","03/02/2020",4,0,0,0,0,0,0,0,0
"West Bengal","03/02/2020",4,0,0,0,0,0,0,0,0
"Andaman and Nicobar Islands","04/02/2020",5,0,0,0,0,0,0,0,0
"Andhra Pradesh","04/02/2020",5,0,0,0,0,0,0,0,0
"Bihar","04/02/2020",5,0,0,0,0,0,0,0,0
"Chandigarh","04/02/2020",5,0,0,0,0,0,0,0,0
"Chhattisgarh","04/02/2020",5,0,0,0,0,0,0,0,0
"Delhi","04/02/2020",5,0,0,0,0,0,0,0,0
"Goa","04/02/2020",5,0,0,0,0,0,0,0,0
"Gujarat","04/02/2020",5,0,0,0,0,0,0,0,0
"Haryana","04/02/2020",5,0,0,0,0,0,0,0,0
"Himachal Pradesh","04/02/2020",5,0,0,0,0,0,0,0,0
"Jammu and Kashmir","04/02/2020",5,0,0,0,0,0,0,0,0
"Karnataka","04/02/2020",5,0,0,0,0,0,0,0,0
"Kerala","04/02/2020",5,3,0,3,0,0,3,0,0
"Ladakh","04/02/2020",5,0,0,0,0,0,0,0,0
"Madhya Pradesh","04/02/2020",5,0,0,0,0,0,0,0,0
"Maharashtra","04/02/2020",5,0,0,0,0,0,0,0,0
"Manipur","04/02/2020",5,0,0,0,0,0,0,0,0
"Mizoram","04/02/2020",5,0,0,0,0,0,0,0,0
"Odisha","04/02/2020",5,0,0,0,0,0,0,0,0
"Puducherry","04/02/2020",5,0,0,0,0,0,0,0,0
"Punjab","04/02/2020",5,0,0,0,0,0,0,0,0
"Rajasthan","04/02/2020",5,0,0,0,0,0,0,0,0
"Tamil Nadu","04/02/2020",5,0,0,0,0,0,0,0,0
"Telengana","04/02/2020",5,0,0,0,0,0,0,0,0
"Uttar Pradesh","04/02/2020",5,0,0,0,0,0,0,0,0
"Uttarakhand","04/02/2020",5,0,0,0,0,0,0,0,0
"West Bengal","04/02/2020",5,0,0,0,0,0,0,0,0
"Andaman and Nicobar Islands","05/02/2020",6,0,0,0,0,0,0,0,0
"Andhra Pradesh","05/02/2020",6,0,0,0,0,0,0,0,0
"Bihar","05/02/2020",6,0,0,0,0,0,0,0,0
"Chandigarh","05/02/2020",6,0,0,0,0,0,0,0,0
"Chhattisgarh","05/02/2020",6,0,0,0,0,0,0,0,0
"Delhi","05/02/2020",6,0,0,0,0,0,0,0,0
"Goa","05/02/2020",6,0,0,0,0,0,0,0,0
"Gujarat","05/02/2020",6,0,0,0,0,0,0,0,0
"Haryana","05/02/2020",6,0,0,0,0,0,0,0,0
"Himachal Pradesh","05/02/2020",6,0,0,0,0,0,0,0,0
"Jammu and Kashmir","05/02/2020",6,0,0,0,0,0,0,0,0
"Karnataka","05/02/2020",6,0,0,0,0,0,0,0,0
"Kerala","05/02/2020",6,3,0,3,0,0,3,0,0
"Ladakh","05/02/2020",6,0,0,0,0,0,0,0,0
"Madhya Pradesh","05/02/2020",6,0,0,0,0,0,0,0,0
"Maharashtra","05/02/2020",6,0,0,0,0,0,0,0,0
"Manipur","05/02/2020",6,0,0,0,0,0,0,0,0
"Mizoram","05/02/2020",6,0,0,0,0,0,0,0,0
"Odisha","05/02/2020",6,0,0,0,0,0,0,0,0
"Puducherry","05/02/2020",6,0,0,0,0,0,0,0,0
"Punjab","05/02/2020",6,0,0,0,0,0,0,0,0
"Rajasthan","05/02/2020",6,0,0,0,0,0,0,0,0
"Tamil Nadu","05/02/2020",6,0,0,0,0,0,0,0,0
"Telengana","05/02/2020",6,0,0,0,0,0,0,0,0
"Uttar Pradesh","05/02/2020",6,0,0,0,0,0,0,0,0
"Uttarakhand","05/02/2020",6,0,0,0,0,0,0,0,0
"West Bengal","05/02/2020",6,0,0,0,0,0,0,0,0
"Andaman and Nicobar Islands","06/02/2020",7,0,0,0,0,0,0,0,0
"Andhra Pradesh","06/02/2020",7,0,0,0,0,0,0,0,0
"Bihar","06/02/2020",7,0,0,0,0,0,0,0,0
"Chandigarh","06/02/2020",7,0,0,0,0,0,0,0,0
"Chhattisgarh","06/02/2020",7,0,0,0,0,0,0,0,0
"Delhi","06/02/2020",7,0,0,0,0,0,0,0,0
"Goa","06/02/2020",7,0,0,0,0,0,0,0,0
"Gujarat","06/02/2020",7,0,0,0,0,0,0,0,0
"Haryana","06/02/2020",7,0,0,0,0,0,0,0,0
"Himachal Pradesh","06/02/2020",7,0,0,0,0,0,0,0,0
"Jammu and Kashmir","06/02/2020",7,0,0,0,0,0,0,0,0
"Karnataka","06/02/2020",7,0,0,0,0,0,0,0,0
"Kerala","06/02/2020",7,3,0,3,0,0,3,0,0
"Ladakh","06/02/2020",7,0,0,0,0,0,0,0,0
"Madhya Pradesh","06/02/2020",7,0,0,0,0,0,0,0,0
"Maharashtra","06/02/2020",7,0,0,0,0,0,0,0,0
"Manipur","06/02/2020",7,0,0,0,0,0,0,0,0
"Mizoram","06/02/2020",7,0,0,0,0,0,0,0,0
"Odisha","06/02/2020",7,0,0,0,0,0,0,0,0
"Puducherry","06/02/2020",7,0,0,0,0,0,0,0,0
"Punjab","06/02/2020",7,0,0,0,0,0,0,0,0
